Source,supplier_source_string_upper,supplier_match_string_upper,supplier_id
Contract,SUNSHINE NURSERY (UDDINGSTON) LTD,SUNSHINE NURSERY (UDDINGSTON) LIMITED,SC362564
Contract,LITTLE GIGGLERS,LITTLE GIGGLERS LTD.,SC272914
Contract,ACE PLACE CHILDCARE SERVICES LIMITED,ACE PLACE CHILDCARE SERVICES LIMITED,SC368637
Contract,GREEN APPLE NURSERY LTD,GREEN APPLE NURSERY LTD,SC423270
Contract,UPSTAIRS KIDS KLUB,UPSTAIRS KIDS KLUB,SC307213
Contract,LITTLE PEOPLE NURSERY,LITTLE PEOPLE NURSERY LIMITED,08425376
Contract,ALL NEW BEGINNINGS LTD,ALL NEW BEGINNINGS LTD,SC585746
Contract,BUSY BEES NURSERIES (SCOTLAND) LIMITED,BUSY BEES NURSERIES (SCOTLAND) LIMITED,SC118818
Contract,HOPSCOTCH NURSERIES LTD,HOPSCOTCH NURSERIES LIMITED,SC161536
Contract,121 CARE AT HOME LTD,121 CARE AT HOME LTD,SC385333
Contract,CARE1  PROFESSIONAL SERVICES LTD,CARE1 PROFESSIONAL SERVICES LTD,08775076
Contract,ION CARE AND SUPPORT SERVICES LTD,ION CARE AND SUPPORT SERVICES LIMITED,SC519484
Contract,GREEN APPLE NURSERY,GREEN APPLE NURSERY LTD,SC423270
Contract,CARE SOLUTIONS HOMECARE LTD,CARE SOLUTIONS HOMECARE LTD,SC508883
Contract,BRAMBLE HUB LIMITED,BRAMBLE HUB LIMITED,04136381
Contract,LOVE LEARNING SCOTLAND,LOVE LEARNING SCOTLAND SCIO,CS001860
Contract,HOME INSTEAD SENIOR CARE,HOME INSTEAD SENIOR CARE LIMITED,06599419
Contract,ASPIRE HOUSING & PERSONAL DEVELOPMENT SERVICES,ASPIRE HOUSING & PERSONAL DEVELOPMENT SERVICES LIMITED,SC231773
Contract,PENUMBRA,PENUMBRA,SC091542
Contract,LORETTO CARE,LORETTO CARE LIMITED,SC657692
Contract,MOCHRIDHE LIMITED,MOCHRIDHE LIMITED,SC293048
Contract,THE COMMUNITY CONNECTIONS GROUP LTD,THE COMMUNITY CONNECTIONS GROUP LTD,SC471949
Contract,GAMMA TELECOM,GAMMA TELECOM LTD,04340834
Contract,CHILDREN 1ST,CHILDREN 1ST LIMITED,07576927
Contract,GOOD SHEPHERD CENTRE,THE GOOD SHEPHERD CENTRE,CE009155
Contract,CIVICA UK LIMITED,CIVICA UK LIMITED,01628868
Contract,REXEL UK T/A ROSS ELECTRICAL,REXEL UK LIMITED,00434724
Contract,BLUE TRIANGLE (GLASGOW) HOUSING ASSOCIATION LIMITED,BLUE TRIANGLE (GLASGOW) HOUSING ASSOCIATION LIMITED,SP1835RS
Contract,FORTRESS SECURITY LTD,FORTRESS SECURITY LIMITED,03652965
Contract,THOMAS C. STEWART LLP,THOMAS C STEWART LLP,SO302166
Contract,ADDACTION,ADDACTION LIMITED,12036661
Contract,GRAHAM + SIBBALD,GRAHAM + SIBBALD LLP,SO307130
Contract,FUELLINK SYSTEMS LTD,FUELLINK SYSTEMS LTD,SC385225
Contract,WRC RECYCLING LTD,WRC RECYCLING LIMITED,SC370000
Contract,BREAK THE SILENCE,BREAK THE SILENCE,SC341157
Contract,EDEN SPRINGS UK LTD,EDEN SPRINGS UK LIMITED,04063744
Contract,PEOPLE ASSET MANAGEMENT,PEOPLE ASSET MANAGEMENT LTD,05199107
Contract,GTG TRAINING LTD,GTG TRAINING LIMITED,SC290157
Contract,TRAVIS PERKINS TRADING COMPANY LTD,TRAVIS PERKINS TRADING COMPANY LIMITED,00733503
Contract,FORDE TRAINING SERVICES LTD,FORDE TRAINING SERVICES LIMITED,SC358012
Contract,HOME-START STIRLING,HOME-START STIRLING,SC276401
Contract,KIRBY ELECTRICAL SERVICES,KIRBY ELECTRICAL SERVICES LIMITED,09579283
Contract,GEORGE A WALKER LTD,GEORGE A WALKER LTD,SC408989
Contract,LIGHTWAYS (CONTRACTORS) LTD,LIGHTWAYS (CONTRACTORS) LIMITED,SC064413
Contract,HIGHLAND FENCING & BARRIER CONTRACTORS LTD,HIGHLAND FENCING & BARRIER CONTRACTORS LIMITED,SC399499
Contract,AMEY,AMEY PLC,02379479
Contract,COMMUTAPORTS LTD,COMMUTAPORTS LIMITED,SC113131
Contract,ALLY BAIRD LTD,ALLY BAIRD LTD.,SC290010
Contract,HBS LTD,HBS LIMITED,01978406
Contract,RICHARD IRVIN FM LTD.,RICHARD IRVIN FM LIMITED,11454668
Contract,EXTERNITURE,EXTERNITURE LIMITED,04338401
Contract,STABILISED PAVEMENTS LTD,STABILISED PAVEMENTS LIMITED,03241163
Contract,LINK TREASURY SERVICES,LINK TREASURY SERVICES LIMITED,02652033
Contract,PHOENIX SOFTWARE LTD,PHOENIX SOFTWARE LIMITED,02548628
Contract,LEVENSEAT LIMITED,LEVENSEAT LTD.,SC094831
Contract,KIELY BROS LTD,KIELY BROS. LIMITED,03487871
Contract,COLAS LIMITED,COLAS LIMITED,02644726
Contract,FES FM LIMITED,FES FM LIMITED,SC220049
Contract,MACLAY CIVIL ENGINEERING LTD,MACLAY (CIVIL ENGINEERING) LIMITED,SC058460
Contract,J H CIVIL ENGINEERING LTD,JH CIVIL ENGINEERING LIMITED,SC195621
Contract,T & N GILMARTIN (CONTRACTORS) LTD,T. & N. GILMARTIN (CONTRACTORS) LIMITED,SC105726
Contract,MHR INTERNATIONAL UK LIMITED,MHR INTERNATIONAL UK LIMITED,01852206
Contract,DELPHI SERVICES,DELPHI SERVICES LTD,06339596
Contract,SCOTTISH WATER BUSINESS STREAM,SCOTTISH WATER BUSINESS STREAM LIMITED,SC294924
Early_Spend,1541 LAW ACCOUNTANTS LTD,1541 : LAW ACCOUNTANTS LTD,SC398634
Early_Spend,1599 LIMITED,1599 LIMITED,SC424139
Early_Spend,1ST HOMECARE LTD,1ST HOMECARE (HOLDINGS) LIMITED,09905875
Early_Spend,200 ST VINCENT STREET,200 ST VINCENT STREET SPV LIMITED,SC428461
Early_Spend,200 SVS LIMITED,SVS LIMITED,04978899
Early_Spend,2B SCIENTIFIC,2B SCIENTIFIC LIMITED,06924621
Early_Spend,2CQR LTD,LYNGSOE SYSTEMS LIMITED,05005987
Early_Spend,2I LIMITED,2I LIMITED,SC293432
Early_Spend,3C_ EURO CAR PARKS - B,EURO CAR PARKS LIMITED,01270612
Early_Spend,3CUBED LIMITED,3CUBED LIMITED,04438272
Early_Spend,3I CONDITION MONITORING CONSULTANCY LIMITED,3I CONDITION MONITORING CONSULTANCY LIMITED,05975281
Early_Spend,3I STUDIO LTD,3I STUDIO LIMITED,03120919
Early_Spend,3M UNITED KINGDOM PLC,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,01123045
Early_Spend,3SIXTY,3SIXTY LIMITED,05632451
Early_Spend,3X1 PUBLIC RELATIONS LIMITED,3X1 LIMITED,SC211905
Early_Spend,4IMPRINT,4IMPRINT LIMITED,03020689
Early_Spend,4IMPRINT DIRECT,4IMPRINT DIRECT LIMITED,06392482
Early_Spend,4S TALKING TORQUE LTD,4S TALKING TORQUE LIMITED,SC271536
Early_Spend,802 WORKS LTD,802 WORKS LIMITED,SC328179
Early_Spend,88 EVENTS CO LTD,88 EVENTS COMPANY LIMITED,SC245479
Early_Spend,8X8 UK LIMITED,8X8 UK LIMITED,05083841
Early_Spend,9BRAND FOODS LTD,9BRAND FOODS LIMITED,10253130
Early_Spend,A ALGEO LTD,A.ALGEO LIMITED,00437100
Early_Spend,A CLOUD GURU,A CLOUD GURU LTD,09602737
Early_Spend,A PLUS SECURITY LIMITED,A PLUS SECURITY LIMITED,07062452
Early_Spend,A TECH HEATING,A TECH HEATING LIMITED,SC208281
Early_Spend,A-Z TEC MEDICAL LTD,A-Z TEC MEDICAL LIMITED,04293878
Early_Spend,A. G. BARR P.L.C.,A.G. BARR P.L.C.,SC005653
Early_Spend,A.M.PHILLIP TRUCKTECH LTD,A M PHILLIP TRUCKTECH LIMITED,SC287764
Early_Spend,A&D CARTWRIGHT,EDMUNDSON ELECTRICAL LIMITED,02667012
Early_Spend,A1 BUILDERS (SCOTLAND) LTD,A1 BUILDERS (SCOTLAND) LTD,SC552640
Early_Spend,A1-CBISS LTD,A1-CBISS LIMITED,02414633
Early_Spend,A1-ENVIROSCIENCES.,A1-ENVIROSCIENCES LIMITED,06363165
Early_Spend,AA,AA LIMITED,05149111
Early_Spend,AAH PHARMACEUTICALS LTD,AAH PHARMACEUTICALS LIMITED,00123458
Early_Spend,AB APPLIANCE CARE LTD,AB APPLIANCE CARE LIMITED,SC372765
Early_Spend,ABB LIMITED,ABB LIMITED,03780764
Early_Spend,ABBEY STATIONERY PRODUCTS LTD,ABBEY STATIONERY PRODUCTS LIMITED,07145732
Early_Spend,ABBOTT RAPID DIAGNOSTICS LIMITED,ABBOTT RAPID DIAGNOSTICS LIMITED,01716581
Early_Spend,ABBOTT TOXICOLOGY PLC,ABBOTT TOXICOLOGY LIMITED,05396234
Early_Spend,ABELLIO SCOTRAIL LTD,ABELLIO SCOTRAIL LTD,SC450732
Early_Spend,ABERCROMBY VENDING LIMITED,ABERCROMBY VENDING LTD.,SC358792
Early_Spend,ABERDEEN ALARM COMPANY,ABERDEEN ALARM COMPANY LIMITED,SC333480
Early_Spend,ABERDEEN CAR PARKS LTD,ABERDEEN CAR PARKS LIMITED,SC381835
Early_Spend,ABERDEEN HARBOUR BOARD,ABERDEEN HARBOUR BOARD,SC184647
Early_Spend,ABERDEEN HARBOUR BOATMEN LIMITED,ABERDEEN HARBOUR BOATMEN LIMITED,SC434696
Early_Spend,ABERDEEN JOURNALS LIMITED.,ABERDEEN JOURNALS LIMITED,SC015256
Early_Spend,ABERDEEN LAUNDRY SERVICES LIMITED,ABERDEEN LAUNDRY SERVICES LIMITED,SC350793
Early_Spend,ABERDEEN LIFTING SERVICES LIMITED,ABERDEEN LIFTING SERVICES LIMITED,SC277366
Early_Spend,ABERDEEN WEB LIMITED,ABERDEEN WEB LIMITED,SC141923
Early_Spend,ABERLOUR CHILD CARE TRUST,ABERLOUR CHILD CARE TRUST,SC312912
Early_Spend,ABERMED LIMITED,ABERMED LIMITED,SC267667
Early_Spend,ABLE GROUP LTD,ABLE GROUP LIMITED,10184636
Early_Spend,ABLE HEALTH CARE SCOTLAND LTD,ABLE HEALTH CARE SCOTLAND LTD,SC507248
Early_Spend,ABP MARINE ENVIRONMENTAL RESEARCH LTD,ABP MARINE ENVIRONMENTAL RESEARCH LIMITED,01956748
Early_Spend,ABSCIEX UK LIMITED,AB SCIEX UK LIMITED,07007374
Early_Spend,AC GOLD SERVICES LTD,AC GOLD SERVICES LTD,SC270120
Early_Spend,ACAS,ACAS LIMITED,03361084
Early_Spend,ACCENTURE (UK) LIMITED,ACCENTURE (UK) LIMITED,04757301
Early_Spend,ACCO UK LTD,ACCO UK LIMITED,00197754
Early_Spend,ACCORA LTD,ACCORA LIMITED,04915604
Early_Spend,ACE HANDLING UK LTD,ACE HANDLING UK LTD,05774361
Early_Spend,ACEDAG LTD,ACEDAG LIMITED,01584316
Early_Spend,ACER INTERNATIONAL UNITED KINGDOM LIMITED,ACER INTERNATIONAL UNITED KINGDOM LIMITED,05572704
Early_Spend,ACF,ACF LIMITED,13789794
Early_Spend,ACHILLES INFORMATION LTD,ACHILLES INFORMATION LIMITED,SC137975
Early_Spend,ACL HIRE LIMITED,ACL HIRE LIMITED,SC185801
Early_Spend,ACM,ACM CORP LIMITED,11204167
Early_Spend,ACORN CARE & EDUCATION LTD,ACORN CARE AND EDUCATION LIMITED,05019430
Early_Spend,ACORN PRINCIPLE PLUS LTD,ACORN PRINCIPLE PLUS LTD.,SC311962
Early_Spend,ACS BUSINESS SUPPLIES,ACS BUSINESS SUPPLIES LTD,06584936
Early_Spend,ACS PHYSICAL RISK CONTROL LTD,ACS PHYSICAL RISK CONTROL LIMITED,06018782
Early_Spend,ACTIAN EUROPE LIMITED,ACTIAN EUROPE LIMITED,05490314
Early_Spend,ACTION FOR CHILDREN,ACTION FOR CHILDREN,04764232
Early_Spend,ACTION IN MIND,ACTION IN MIND,SC151478
Early_Spend,ACTIVE ENERGY SOLUTIONS LTD,ACTIVE ENERGY SOLUTIONS LTD.,SC230311
Early_Spend,ACTIVE EVENTS LIMITED,ACTIVE EVENTS LTD,SC424935
Early_Spend,ACTIVE HEALTHCARE SERVICES LTD,ACTIVE HEALTHCARE SERVICES LIMITED,SC483112
Early_Spend,ACTIVE OFFICE SCOTLAND LTD,ACTIVE OFFICE SCOTLAND LIMITED,SC044094
Early_Spend,ACUITY TRAINING LTD,ACUITY TRAINING LIMITED,07668889
Early_Spend,ADAPTOCARE LTD,ADAPTOCARE LTD.,SC197202
Early_Spend,ADDICTIONS SUPPORT & COUNSELLING (ASC),RECOVERY SCOTLAND LTD.,SC155475
Early_Spend,ADDRESSING & MAILING SOLUTIONS LTD,ADDRESSING & MAILING SOLUTIONS LIMITED,04702481
