ocid,releasedate,aw_value
ocds-0c46vo-0353-JUN299026,2019-06-21 00:00:00.000000,181000.0
ocds-0c46vo-0353-JUN299024,2019-06-21 00:00:00.000000,400000.0
ocds-0c46vo-0353-JUN299061,2019-06-21 00:00:00.000000,1346.29
ocds-0c46vo-0353-JUN299060,2019-06-21 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN299059,2019-06-21 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298936,2019-06-20 00:00:00.000000,52.5
ocds-0c46vo-0353-JUN299058,2019-06-21 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN299057,2019-06-21 00:00:00.000000,1885944.0
ocds-0c46vo-0353-JUN299069,2019-06-21 00:00:00.000000,1240.65
ocds-0c46vo-0353-JUN299068,2019-06-21 00:00:00.000000,45.0
ocds-0c46vo-0353-JUN299066,2019-06-21 00:00:00.000000,330976.51
ocds-0c46vo-0353-JUN299065,2019-06-21 00:00:00.000000,38.0
ocds-0c46vo-0353-JUN299064,2019-06-21 00:00:00.000000,14.25
ocds-0c46vo-0353-JUN299063,2019-06-21 00:00:00.000000,15.38
ocds-0c46vo-0353-JUN299062,2019-06-21 00:00:00.000000,14.3
ocds-0c46vo-0353-JUN299073,2019-06-21 00:00:00.000000,719680.0
ocds-0c46vo-0353-JUN299071,2019-06-21 00:00:00.000000,805534.35
ocds-0c46vo-0353-JUN299070,2019-06-21 00:00:00.000000,4876500.0
ocds-0c46vo-0353-JUN298935,2019-06-20 00:00:00.000000,15.38
ocds-0c46vo-0353-JUN299080,2019-06-21 00:00:00.000000,3348.0
ocds-0c46vo-0353-JUN299079,2019-06-21 00:00:00.000000,80000000.0
ocds-0c46vo-0353-JUN299078,2019-06-21 00:00:00.000000,2895.6
ocds-0c46vo-0353-JUN299077,2019-06-21 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN299076,2019-06-21 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN299075,2019-06-21 00:00:00.000000,12766.42
ocds-0c46vo-0353-JUN299074,2019-06-21 00:00:00.000000,2426325.0
ocds-0c46vo-0353-JUN299083,2019-06-21 00:00:00.000000,4340.0
ocds-0c46vo-0384-SPE2D419F175R,2019-11-16 12:41:03.493531,2394.75
ocds-0c46vo-0353-JUN299082,2019-06-21 00:00:00.000000,78172.96
ocds-0c46vo-0353-JUN299081,2019-06-21 00:00:00.000000,845.04
ocds-0c46vo-0353-JUN299086,2019-06-21 00:00:00.000000,4340.0
ocds-0c46vo-0353-JUN299085,2019-06-21 00:00:00.000000,1850.0
ocds-0c46vo-0353-JUN299084,2019-06-21 00:00:00.000000,3764.33
ocds-0c46vo-0384-SPE3SU19F8HVU,2019-11-16 08:48:35.157353,370.88
ocds-0c46vo-0384-SPE7M119F464E,2019-11-16 12:40:37.295068,1627.2
ocds-0c46vo-0384-SPE3SU19F66XX,2019-11-16 08:47:55.804200,127.5
ocds-0c46vo-0353-JUN299088,2019-06-21 00:00:00.000000,33475.0
ocds-0c46vo-0353-JUN299087,2019-06-21 00:00:00.000000,3264.92
ocds-0c46vo-0353-JUN299094,2019-06-21 00:00:00.000000,10886.72
ocds-0c46vo-0353-JUN298934,2019-06-20 00:00:00.000000,3764.33
ocds-0c46vo-0353-JUN299093,2019-06-21 00:00:00.000000,14.5
ocds-0c46vo-0353-JUN299092,2019-06-21 00:00:00.000000,757.61
ocds-0c46vo-0353-JUN299090,2019-06-21 00:00:00.000000,6500000.0
ocds-0c46vo-0353-JUN299089,2019-06-21 00:00:00.000000,247000.0
ocds-0c46vo-0353-JUN299096,2019-06-21 00:00:00.000000,800000.0
ocds-0c46vo-0353-JUN299095,2019-06-21 00:00:00.000000,374.8
ocds-0c46vo-0353-JUN298933,2019-06-20 00:00:00.000000,13.94
ocds-0c46vo-0353-JUN299099,2019-06-21 00:00:00.000000,4000000.0
ocds-0c46vo-0353-JUN299104,2019-06-21 00:00:00.000000,16000000.0
ocds-0c46vo-0353-JUN299103,2019-06-21 00:00:00.000000,8750000.0
ocds-0c46vo-0353-JUN299101,2019-06-21 00:00:00.000000,700000.0
ocds-0c46vo-0353-JUN299109,2019-06-21 00:00:00.000000,49578.0
ocds-0c46vo-0353-JUN357750,2019-06-20 00:00:00.000000,245165.0
ocds-0c46vo-0353-JUN357751,2019-06-20 00:00:00.000000,0.29
ocds-0c46vo-0384-SPE2DV19FAN8W,2019-11-16 12:40:29.214527,1663.65
ocds-0c46vo-0384-SPE3SU19F658L,2019-11-16 08:47:44.908481,128.77
ocds-0c46vo-0353-JUN357757,2019-06-20 00:00:00.000000,96000.0
ocds-0c46vo-0353-JUN357765,2019-06-20 00:00:00.000000,92000.0
ocds-0c46vo-0384-47QSEA19FA66J,2019-11-17 07:18:25.001599,143.46
ocds-0c46vo-0353-JUN298932,2019-06-20 00:00:00.000000,15.38
ocds-0c46vo-0353-JUN357766,2019-06-20 00:00:00.000000,105000.0
ocds-0c46vo-0353-JUN357767,2019-06-20 00:00:00.000000,105000.0
ocds-0c46vo-0353-JUN357768,2019-06-20 00:00:00.000000,50990.25
ocds-0c46vo-0353-JUN298939,2019-06-20 00:00:00.000000,1098646.5
ocds-0c46vo-0353-JUN357769,2019-06-20 00:00:00.000000,39652.0
ocds-0c46vo-0353-JUN357771,2019-06-20 00:00:00.000000,85882.59
ocds-0c46vo-0384-SPE2DX19FH27Y,2019-11-16 12:39:45.611840,1736.58
ocds-0c46vo-0384-47QSEA20F091F,2019-11-16 17:24:42.316018,1797.2
ocds-0c46vo-0384-47QSEA19F43F0,2019-11-16 08:46:54.342623,32.65
ocds-0c46vo-0384-47QSEA19F3ZRN,2019-11-16 12:39:13.003990,1761.8
ocds-0c46vo-0353-JUN357772,2019-06-20 00:00:00.000000,154286.09
ocds-0c46vo-0384-47QSEA19FA7M7,2019-11-17 07:16:19.080589,22.25
ocds-0c46vo-0384-SPE3SU19F8729,2019-11-16 17:24:13.361292,645.41
ocds-0c46vo-0384-47QSEA19FA6D2,2019-11-17 07:16:09.045469,806.0
ocds-0c46vo-0384-SPE7L319P2984,2019-11-16 17:20:47.023972,8098.93
ocds-0c46vo-0353-JUN357782,2019-06-20 00:00:00.000000,1600000.0
ocds-0c46vo-0353-JUN357784,2019-06-20 00:00:00.000000,260000.0
ocds-0c46vo-0353-JUN357785,2019-06-20 00:00:00.000000,4000000.0
ocds-0c46vo-0353-JUN357786,2019-06-20 00:00:00.000000,183183.18
ocds-0c46vo-0353-JUN298926,2019-06-20 00:00:00.000000,4200000.0
ocds-0c46vo-0353-JUN357787,2019-06-20 00:00:00.000000,996000.0
ocds-0c46vo-0353-JUN357788,2019-06-20 00:00:00.000000,71507.79
ocds-0c46vo-0353-JUN357811,2019-06-20 00:00:00.000000,101384.0
ocds-0c46vo-0353-JUN357815,2019-06-20 00:00:00.000000,43357.0
ocds-0c46vo-0353-JUN357827,2019-06-20 00:00:00.000000,44919.5
ocds-0c46vo-0353-JUN357850,2019-06-20 00:00:00.000000,140755.55
ocds-0c46vo-0353-JUN357851,2019-06-20 00:00:00.000000,83024.15
ocds-0c46vo-0353-JUN357878,2019-06-20 00:00:00.000000,4000000.0
ocds-0c46vo-0353-JUN357881,2019-06-20 00:00:00.000000,128522.21
ocds-0c46vo-0353-JUN357882,2019-06-20 00:00:00.000000,982821.58
ocds-0c46vo-0353-JUN357886,2019-06-20 00:00:00.000000,187700.0
ocds-0c46vo-0353-JUN357889,2019-06-20 00:00:00.000000,10125.0
ocds-0c46vo-0353-JUN357891,2019-06-20 00:00:00.000000,81236.0
ocds-0c46vo-0384-47QSHA19F2WFW,2019-11-16 08:46:52.868774,394.0
ocds-0c46vo-0353-JUN298853,2019-06-20 00:00:00.000000,190000.0
ocds-0c46vo-0353-JUN298874,2019-06-20 00:00:00.000000,48441.0
ocds-0c46vo-0353-JUN298873,2019-06-20 00:00:00.000000,48441.0
ocds-0c46vo-0384-75N95C19P00066,2019-11-17 07:13:34.923178,24670.75
ocds-0c46vo-0353-JUN298887,2019-06-20 00:00:00.000000,1600000.0
ocds-0c46vo-0353-JUN298886,2019-06-20 00:00:00.000000,211402.31
ocds-0c46vo-0353-JUN298925,2019-06-20 00:00:00.000000,273487.0
ocds-0c46vo-0384-SPE4A619F9660,2019-11-16 17:20:41.861038,8280.0
ocds-0c46vo-0384-15B40619FUE240029,2019-11-17 07:12:21.224515,24897.8
ocds-0c46vo-0353-JUN298938,2019-06-20 00:00:00.000000,780072.0
ocds-0c46vo-0353-JUN298937,2019-06-20 00:00:00.000000,962997.19
ocds-0c46vo-0353-JUN298941,2019-06-20 00:00:00.000000,640000.0
ocds-0c46vo-0353-JUN298940,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298944,2019-06-20 00:00:00.000000,400000000.0
ocds-0c46vo-0384-SPE30019F2LYJ,2019-11-16 17:20:37.012585,8447.59
ocds-0c46vo-0353-JUN298942,2019-06-20 00:00:00.000000,11000000.0
ocds-0c46vo-0353-JUN298946,2019-06-20 00:00:00.000000,50000000.0
ocds-0c46vo-0353-JUN298945,2019-06-20 00:00:00.000000,3212010.0
ocds-0c46vo-0353-JUN298952,2019-06-20 00:00:00.000000,14.3
ocds-0c46vo-0353-JUN298951,2019-06-20 00:00:00.000000,18.4
ocds-0c46vo-0353-JUN298950,2019-06-20 00:00:00.000000,14.0
