buyer_name_clean,ocid,level1,sic_code,sic_string,start_date,end_date,co2_pm
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148087,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.13920236623011664
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146615,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.021781002130434785
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-134986,,70229,Management consultancy activities other than financial management,2020-03-01,2022-09-30,31.88866829745493
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148071,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.017592658021208907
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146348,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.21191698727465536
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148082,,69201,Accounting and auditing activities,2020-03-01,2022-09-30,0
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148081,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.019791820911983032
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135949,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.09579809013785791
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-144843,,62020,Information technology consultancy activities,2020-03-01,2022-09-30,0.0852351411283139
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148075,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.006597166119830329
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148090,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.008796329010604453
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-131702,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,1.483699531590668
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-126992,,71122,Engineering related scientific and technical consulting activities,2020-03-05,2025-03-05,0.01234424956297919
DEPARTMENT OF HEALTH,ocds-0c46vo-0517-104628,Central Government,56210,Event catering activities,2020-03-10,2023-03-09,1.0796217463313802
DEPARTMENT OF POLICE,ocds-0c46vo-0517-92460,,1410,Raising of dairy cattle,2020-03-11,2025-03-10,11.833346301369863
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-122544,,52220,Service activities incidental to water transportation,2020-03-13,2025-03-12,0.24937527328767126
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-100721,,71122,Engineering related scientific and technical consulting activities,2020-03-17,2025-03-16,1.666668493150685
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-124960,,45200,Maintenance and repair of motor vehicles,2020-03-17,2025-03-16,0.4501354932986301
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-143695,,71122,Engineering related scientific and technical consulting activities,2020-03-19,2062-12-31,0.0959624403852947
DEPT OF AVIATION,ocds-0c46vo-0517-131348,,46190,Agents involved in the sale of a variety of goods,2020-04-01,2025-05-31,0.050893944957582184
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-128515,,43110,Demolition,2020-04-01,2025-04-01,0.103276856516977
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-137433,,43110,Demolition,2020-04-01,2025-04-01,0.049972672508214674
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-136118,,26514,Manufacture of non,2020-04-01,2022-09-30,2.3815165490230266
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-134652,,26514,Manufacture of non,2020-04-06,2022-09-30,1.569673757123484
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-134898,,86101,Hospital activities,2020-04-06,2022-09-30,2.181865345878721
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-122551,,42220,Construction of utility projects for electricity and telecommunications,2020-05-04,2022-05-03,46.23898021383744
DEPT OF AVIATION,ocds-0c46vo-0517-133023,,45200,Maintenance and repair of motor vehicles,2020-05-10,2030-05-09,1.5538624042670501
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-105714,,86101,Hospital activities,2020-05-13,2025-05-12,2.350002575342466
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-120822,,49320,Taxi operation,2020-05-15,2022-12-31,37.2604575
DEPARTMENT OF POLICE,ocds-0c46vo-0517-127701,,30920,Manufacture of bicycles and invalid carriages,2020-05-21,2025-05-20,0.3015003304109589
CPD,ocds-0c46vo-0517-129972,,46711,Wholesale of petroleum and petroleum products,2020-05-21,2025-05-20,79.43697205412055
DEPARTMENT OF POLICE,ocds-0c46vo-0517-127702,,30920,Manufacture of bicycles and invalid carriages,2020-05-21,2025-05-20,0.5375005890410959
DEPARTMENT OF POLICE,ocds-0c46vo-0517-127699,,30920,Manufacture of bicycles and invalid carriages,2020-05-21,2025-05-20,0.02666669589041096
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-129971,,46711,Wholesale of petroleum and petroleum products,2020-05-21,2025-05-20,72.82998044692307
DEPARTMENT OF HOUSING,ocds-0c46vo-0517-126339,,27510,Manufacture of electric domestic appliances,2020-05-26,2022-05-25,13.155786022222221
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-134444,,73110,Advertising agencies,2020-06-01,2022-05-31,0
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-127597,,26511,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",2020-06-01,2025-05-31,0.07425008136986301
DEPT OF AVIATION,ocds-0c46vo-0517-131608,,30300,Manufacture of air and spacecraft and related machinery,2020-06-01,2030-12-31,0.2545441017205692
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-131964,,29100,Manufacture of motor vehicles,2020-06-01,2022-06-30,64.11952569169961
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-145009,,71122,Engineering related scientific and technical consulting activities,2020-06-01,2024-12-31,1.0902043010752687
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-134038,,70229,Management consultancy activities other than financial management,2020-06-01,2022-06-30,1.2783830434782608
DEPT OF AVIATION,ocds-0c46vo-0517-130155,,84250,Fire service activities,2020-06-05,2025-06-04,0.9696669876475891
CPD,ocds-0c46vo-0517-100274,,71121,Engineering design activities for industrial process and production,2020-06-12,2025-06-11,0.16755497528835617
DEPT OF AVIATION,ocds-0c46vo-0517-129570,,71122,Engineering related scientific and technical consulting activities,2020-06-19,2025-06-18,1.000001095890411
DEPT OF AVIATION,ocds-0c46vo-0517-129569,,70229,Management consultancy activities other than financial management,2020-06-19,2025-06-18,2.000002191780822
DEPT OF AVIATION,ocds-0c46vo-0517-129571,,71122,Engineering related scientific and technical consulting activities,2020-06-19,2025-06-18,1.000001095890411
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-151814,,46711,Wholesale of petroleum and petroleum products,2020-06-20,2022-06-30,1.2331094594594596
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-110169,,38210,Treatment and disposal of non,2020-06-25,2025-06-24,321.2598793985687
DEPT OF AVIATION,ocds-0c46vo-0517-122861,,71122,Engineering related scientific and technical consulting activities,2020-06-26,2025-06-25,0.8333342465753425
DEPARTMENT OF HEALTH,ocds-0c46vo-0517-134774,Central Government,62020,Information technology consultancy activities,2020-06-30,2022-07-31,4.512976540115637
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-130227,,30990,Manufacture of other transport equipment n.e.c.,2020-07-01,2025-06-30,47.95826590694614
